role,company_name,hiring_badge,location,duration,stipend_perMonth,skills
Sales,Urban NXT,Actively hiring,Mumbai,3 Months," 3,000  +  Incentives","Sales, Negotiation, CRM"
Social Media Marketing,Web Dakaar Digital Consultancy LLP,Actively hiring,"Thane, Kalyan, Mumbai",5 Months,"6,000","Marketing Strategy, Communication, Market Research"
Script Writer,Persist Ventures,Actively hiring,Mumbai                                                            (Hybrid),3 Months,"12,500","Writing, SEO, Research"
Academic Curriculum Writer - Digital Marketing,IIDE Education Private Limited,Actively hiring,Mumbai,6 Months,"5,000","SEO, Google Ads, Social Media Marketing"
Content Writing,Olivecloud Tech Pvt Ltd,Actively hiring,Mumbai,6 Months,"8,000","Content Writing, Editing, SEO"
Customer Chat Support,Ayurveda House Private Limited,Actively hiring,"Delhi, Ghaziabad, Gurgaon, Noida",3 Months," 10,000-12,000 ","Communication, Teamwork"
Content Writing,Urban NXT,Actively hiring,Mumbai,3 Months," 3,000  +  Incentives","Content Writing, Editing, SEO"
Brand Management,Urban NXT,Actively hiring,Mumbai,3 Months," 3,000  +  Incentives","Marketing Strategy, Branding, Communication"
Brand Management,GREENARYWORLD.COM,Actively hiring,Mumbai,2 Months,"2,500","Marketing Strategy, Branding, Communication"
Search Engine Optimization (SEO),Olivecloud Tech Pvt Ltd,Actively hiring,Mumbai,3 Months,"7,500","SEO, Google Analytics, Keyword Research"
Video Editing/Making,The Preface,Actively hiring,Mumbai,3 Months,"12,000","Video Editing, Premiere Pro, After Effects"
Influencer Marketing,Break The Code,Actively hiring,Mumbai,3 Months,"7,000","Marketing Strategy, Communication, Market Research"
Market Research,WhizJuniors,Actively hiring,Mumbai,6 Months,"10,000","Research, Analysis, Report Writing"
Business Development (Sales),Urban NXT,Actively hiring,Mumbai,3 Months," 3,000  +  Incentives","Sales, Negotiation, Business Strategy"
Digital Marketing,Urban NXT,Actively hiring,Mumbai,3 Months," 3,000  +  Incentives","SEO, Google Ads, Social Media Marketing"
Media & Public Relations (PR),Viewpoint Public Relations,Actively hiring,Mumbai,6 Months,"10,000","Communication, Teamwork"
Social Media Marketing,Olivecloud Tech Pvt Ltd,Actively hiring,Mumbai,6 Months,"8,000","Marketing Strategy, Communication, Market Research"
Video Editing/Making,Olivecloud Tech Pvt Ltd,Actively hiring,Mumbai,6 Months,"10,000","Video Editing, Premiere Pro, After Effects"
Influencer Marketing,Urban NXT,Actively hiring,Mumbai,3 Months," 3,000  +  Incentives","Marketing Strategy, Communication, Market Research"
Business Development (Sales),WashedUp,Actively hiring,"Thane, Navi Mumbai, Mumbai",2 Months," 2,000  +  Incentives","Sales, Negotiation, Business Strategy"
Market Research,Traya Health,Actively hiring,Mumbai,3 Months," 15,000-30,000 ","Research, Analysis, Report Writing"
Content Writing,PK Online Ventures Private Limited,Actively hiring,Gurgaon,3 Months," 6,000-10,000 ","Content Writing, Editing, SEO"
Digital Marketing,Reflex Realty LLP,Actively hiring,Mumbai,6 Months," 5,000-8,000 ","SEO, Google Ads, Social Media Marketing"
Business Development,Relinns Technologies,Actively hiring,"Chandigarh, Ludhiana, Mohali, Punjab",6 Months,"8,000","Sales, Negotiation, Business Strategy"
Assistant To Founder,IOFTHEANCIENT,Actively hiring,Mumbai,2 Months,"10,000","Coordination, Communication, MS Office"
Social Media Manager,Shashwat Singhal,Actively hiring,Prayagraj,6 Months,"5,000","Social Media, Content Creation, Analytics"
Content Writing,Catalyst Crew,Actively hiring,Mumbai                                                            (Hybrid),6 Months," 2,000  +  Incentives","Content Writing, Editing, SEO"
Social Media Manager,Nazar Battu Productions Private Limited,Actively hiring,Dehradun,3 Months,"5,000","Social Media, Content Creation, Analytics"
Loan Officer,ALSIRAAT,Actively hiring,"Thane, Mumbai",6 Months,"10,000","Communication, Teamwork"
Marketing,Wiishbox Consumer Private Limited,Actively hiring,Mumbai,3 Months," 10,000-15,000 ","Marketing Strategy, Communication, Market Research"
Motion Graphics,Catalyst Crew,Actively hiring,Mumbai,6 Months,"10,000","Graphic Design, Photoshop, Illustrator"
E-Commerce Catalog Management,BuySupplies,Actively hiring,Ahmedabad,3 Months,"10,000","Communication, Teamwork"
Video Editor,The Souled Store,Actively hiring,Mumbai                                                            (Hybrid),3 Months,"10,000","Video Editing, Premiere Pro, After Effects"
Database Building/Management,Urban NXT,Actively hiring,Mumbai,3 Months," 3,000  +  Incentives","Python, SQL, Data Analysis"
Digital Marketing,Marcken Consulting LLP,Actively hiring,Ahmedabad,6 Months,"8,000","SEO, Google Ads, Social Media Marketing"
Customer Service/Customer Support,CarryPro,Actively hiring,"Delhi, Noida",3 Months,"15,000","Communication, Teamwork"
Customer Relationship Mangement,Gloval International,Actively hiring,Mumbai,1 Month,"8,000","Communication, Teamwork"
Digital Marketing Assistant,Toposel,Actively hiring,Mumbai,6 Months,"10,000","SEO, Google Ads, Social Media Marketing"
Operations Assistant,Tuffman India Private Limited,Actively hiring,Chandigarh                                                            (Hybrid),6 Months,"12,000","Operations Management, Coordination, MS Excel"
Social Media Marketing,WEMATTER PXT Limited,Actively hiring,Mumbai,3 Months,"15,000","Marketing Strategy, Communication, Market Research"
Project Management,FynTune Solution Private Limited,Actively hiring,"Thane, Navi Mumbai, Vashi, Belapur, Mumbai, Turbhe, Panvel",6 Months," 12,000-18,000 ","Project Management, MS Project, Leadership"
Digital Marketing,Think EBikeGO Private Limited,Actively hiring,Mumbai,3 Months,"10,000","SEO, Google Ads, Social Media Marketing"
Digital Marketing,WhizJuniors,Actively hiring,Mumbai,6 Months,"14,000","SEO, Google Ads, Social Media Marketing"
Digital Marketing,Scalar Tech Media Private Limited,Actively hiring,Mumbai,3 Months," 8,000-10,000 ","SEO, Google Ads, Social Media Marketing"
Food Techonology,PatilKaki,Actively hiring,Navi Mumbai,3 Months,"10,000","Communication, Teamwork"
Content Writing,Grexa AI Private Limited,Actively hiring,Navi Mumbai,3 Months," 5,000-10,000 ","Content Writing, Editing, SEO"
Administration,FableStreet,Actively hiring,Gurgaon,3 Months,"10,000","Administration, Coordination, MS Office"
Customer Relationship & Sales,Unified Sports,Actively hiring,Delhi                                                            (Hybrid),6 Months," 8,000-10,000 ","Sales, Negotiation, CRM"
Food Production Management,PatilKaki,Actively hiring,Navi Mumbai,3 Months,"10,000","Communication, Teamwork"
Telecalling,Ayurvedam,Actively hiring,Mumbai,6 Months,"10,000","Communication, Sales, Customer Handling"
Videography,Ostello India Private Limited,Actively hiring,Delhi,4 Months," 8,000-15,000 ","Video Editing, Premiere Pro, After Effects"
Business Development (Sales),Indusmile Industries,Actively hiring,"Delhi, Greater Noida, Noida",3 Months," 6,000  +  Incentives","Sales, Negotiation, Business Strategy"
Business Development (Sales),Eqaro Surety Private Limited,Actively hiring,"Delhi, Gurgaon, Greater Noida, Noida",3 Months," 8,000-15,000 ","Sales, Negotiation, Business Strategy"
Social Media Marketing,The Prism Paradox,Actively hiring,Mumbai                                                            (Hybrid),6 Months,"15,000","Marketing Strategy, Communication, Market Research"
Anchoring,Small Box Office,Actively hiring,Delhi                                                            (Hybrid),6 Months,"3,000","Anchoring, Public Speaking, Presentation"
E-Commerce,PK Online Ventures Private Limited,Actively hiring,Gurgaon,6 Months," 5,000-8,000 ","Communication, Teamwork"
Cinematography,Thebrothing,Actively hiring,Noida,6 Months,"8,000","Communication, Teamwork"
Video Editing/Making,Unified Sports,Actively hiring,Delhi                                                            (Hybrid),6 Months," 7,000-10,000 ","Video Editing, Premiere Pro, After Effects"
Trainee - Social Media,BookMyShow,Actively hiring,Mumbai,6 Months,"7,500","Social Media, Content Creation, Analytics"
Video Editing/Making,GoMechanic,Actively hiring,Gurgaon,3 Months," 10,000-12,000 ","Video Editing, Premiere Pro, After Effects"
Partner Onboarding,Nivesh,Actively hiring,Noida,6 Months,"10,000","Communication, Teamwork"
Cinematography,Nazar Battu Productions Private Limited,Actively hiring,"Delhi, Noida",6 Months," 5,000-7,000 ","Communication, Teamwork"
Video Editing/Making,FootballGeek,Actively hiring,Navi Mumbai,3 Months," 7,500-10,000 ","Video Editing, Premiere Pro, After Effects"
Field Sales,WellnessZ,Actively hiring,Delhi,3 Months," 5,000  +  Incentives","Sales, Negotiation, CRM"
Video Editing/Making,Thebrothing,Actively hiring,Noida,6 Months,"10,000","Video Editing, Premiere Pro, After Effects"
Cinematography,Small Box Office,Actively hiring,Delhi,6 Months,"7,500","Communication, Teamwork"
Trainee - Live Entertainment (Activities),BookMyShow,Actively hiring,"Mumbai, Noida",6 Months,"7,500","Communication, Teamwork"
Research (Economics),Medius Technologies Private Limited,Actively hiring,Mumbai                                                            (Hybrid),4 Months,"6,500","Research, Analysis, Report Writing"
Social Media Marketing,Catalyst Crew,Actively hiring,Mumbai                                                            (Hybrid),6 Months,"5,000","Marketing Strategy, Communication, Market Research"
Video Editing/Making,Accredian,Actively hiring,Gurgaon                                                            (Hybrid),6 Months,"15,000","Video Editing, Premiere Pro, After Effects"
Chemistry,JS Water Energy Life Company,Actively hiring,Gurgaon,4 Months,"18,000","Communication, Teamwork"
NGO Coordinator,Hamari Pahchan NGO,Actively hiring,"Delhi, South",3 Months," 2,000-6,000 ","Communication, Teamwork"
Community Management,WEMATTER PXT Limited,Actively hiring,Mumbai,3 Months,"15,000","Community Building, Communication, Public Relations"
Video Editing/Making,MHLondon,Actively hiring,Noida,3 Months,"12,000","Video Editing, Premiere Pro, After Effects"
Art Gallery Film Associate,APRE Art House,Actively hiring,Mumbai,3 Months,"5,000","Film Production, Direction, Editing"
Social Media Marketing,Indusmile Industries,Actively hiring,Noida,3 Months," 5,000-8,000 ","Marketing Strategy, Communication, Market Research"
Operations,Supreme Forex (Supreme Securities Limited),Actively hiring,Delhi,6 Months," 20,000  +  Incentives","Operations Management, Coordination, MS Excel"
Subject Matter Expert (SME),Unimonks,Actively hiring,Delhi,3 Months," 4,500-13,000 ","Communication, Teamwork"
Telecalling For Edtech Startup At Bhopal,Lawtech,Actively hiring,Bhopal,3 Months," 10,000-12,000 ","Communication, Sales, Customer Handling"
Video Editing/Making,RYVR Immersive,Actively hiring,Mumbai,6 Months,"15,000","Video Editing, Premiere Pro, After Effects"
Business Development (Sales),VP Recruitment Services,Actively hiring,Pune,2 Months,"5,000","Sales, Negotiation, Business Strategy"
Content Writing,Stirring Minds,Actively hiring,Delhi,3 Months,"7,000","Content Writing, Editing, SEO"
Business Development (Sales),Ombre Bliss,Actively hiring,Gurgaon                                                            (Hybrid),4 Months," 10,000  +  Incentives","Sales, Negotiation, Business Strategy"
Business Development (Sales),Gazelles Management Consultancy,Actively hiring,Noida                                                            (Hybrid),6 Months," 15,000-20,000 ","Sales, Negotiation, Business Strategy"
Marketing & Operations,Internshala,Actively hiring,Gurgaon,6 Months,"18,000","Marketing Strategy, Communication, Market Research"
Business Development (Sales),Grivaa Consultancy Services,Actively hiring,Delhi                                                            (Hybrid),3 Months," 5,000-10,000 ","Sales, Negotiation, Business Strategy"
Digital Marketing,Laxmi Traders,Actively hiring,Noida,4 Months," 8,000-12,000 ","SEO, Google Ads, Social Media Marketing"
Campaign Delivery,Internshala,Actively hiring,Gurgaon,2 Months,"18,000","Communication, Teamwork"
Fashion Design And Merchandising,K.S.E. INC,Actively hiring,Mumbai,3 Months,"15,000","Graphic Design, Photoshop, Illustrator"
Social Media Marketing,The Tarzan Way,Actively hiring,"Delhi, Noida                                                            (Hybrid)",3 Months,"5,000","Marketing Strategy, Communication, Market Research"
Business Development (Sales),Polygon Pixels LLP,Actively hiring,Mumbai,4 Months," 12,000-20,000 ","Sales, Negotiation, Business Strategy"
Business Development (Sales),Career-Domain,Actively hiring,Pune,2 Months,"20,000","Sales, Negotiation, Business Strategy"
Business Development (Sales),Recycle Plastics,Actively hiring,"Delhi, Gurgaon",6 Months," 4,000-10,000 ","Sales, Negotiation, Business Strategy"
Business Development (Sales),Prociti,Actively hiring,Pune,3 Months,"15,000","Sales, Negotiation, Business Strategy"
Graphic Design,Shashwat Singhal,Actively hiring,"Allahabad, Prayagraj",3 Months,"7,000","Graphic Design, Photoshop, Illustrator"
Graphic Design,Heterize Infotech Private Limited,Actively hiring,Indore,3 Months," 7,000-10,000 ","Graphic Design, Photoshop, Illustrator"
Fashion Design,Sadhana Valia,Actively hiring,Mumbai,3 Months," 8,000-15,000 ","Graphic Design, Photoshop, Illustrator"
Fashion Design,Valkyre Clothing,Actively hiring,Mumbai,6 Months," 8,000-12,000 ","Graphic Design, Photoshop, Illustrator"
Fashion Design,Stareye Media & Entertainment Private Limited,Actively hiring,Noida,4 Months," 5,000-8,000 ","Graphic Design, Photoshop, Illustrator"
Management trainee,Esskay International,Actively hiring,Mumbai,6 Months," 15,000-18,000 ","Communication, Teamwork"
Operations,Earthfit Solutions Private Limited,Actively hiring,Pune,6 Months,"15,000","Operations Management, Coordination, MS Excel"
Graphic Design,Kheoni Ventures Private Limited,Actively hiring,Indore,3 Months," 5,000-12,000 ","Graphic Design, Photoshop, Illustrator"
Customer Service/Customer Support,HighQ Tourism,Actively hiring,"Faridabad, Delhi, Noida                                                            (Hybrid)",6 Months,"7,000","Communication, Teamwork"
Fashion Design,Impresio Studio,Actively hiring,Noida,3 Months,"10,000","Graphic Design, Photoshop, Illustrator"
Performance Marketing,Digital Factorys,Actively hiring,"Pune, Pimpri-Chinchwad",6 Months,"15,000","Marketing Strategy, Communication, Market Research"
E-commerce Content & Operations Specialist,EKOMN INDIA PRIVATE LIMITED,Actively hiring,Gurgaon,6 Months," 8,000  +  Incentives","Operations Management, Coordination, MS Excel"
Sales,Kausheyah,Actively hiring,Work from home,6 Months," 15,000  +  Incentives","Sales, Negotiation, CRM"
Google Ads Specialist,Zbotic,Actively hiring,Pimpri-Chinchwad,6 Months," 5,000-8,000 ","Communication, Teamwork"
Product Marketing,Optimum Orthocare Private Limited,Actively hiring,"Pune, Pimpri-Chinchwad                                                            (Hybrid)",6 Months," 8,000-12,000 ","Marketing Strategy, Communication, Market Research"
Video Editing/Making,NayePankh Foundation,Actively hiring,Work from home,3 Months,Unpaid,"Video Editing, Premiere Pro, After Effects"
Social Media,SwasthAham,Actively hiring,Work from home,6 Months,"1,000","Social Media, Content Creation, Analytics"
Business Development (Sales),Clippet Technolgies Private Litimed,Actively hiring,Bangalore,3 Months," 5,000  +  Incentives","Sales, Negotiation, Business Strategy"
Area Manager,NestAway Technologies Private Limited,Actively hiring,Bangalore,6 Months,"8,000","Communication, Teamwork"
Video Editing/Making,Jagath Venkat,Actively hiring,Bangalore                                                            (Hybrid),4 Months,"10,000","Video Editing, Premiere Pro, After Effects"
Motion Graphics,Zinnov Management Consulting,Actively hiring,Bangalore                                                            (Hybrid),3 Months," 20,000-25,000 ","Graphic Design, Photoshop, Illustrator"
Content Creation (Gaming/Esports),The World Of Battle,Actively hiring,"Navi Mumbai, Mumbai",3 Months,"5,000","Content Writing, Editing, SEO"
Operations,Prost Technologies Private Limited (OneAssure),Actively hiring,Bangalore,3 Months,"15,000","Operations Management, Coordination, MS Excel"
Sales,Trade Brains,Actively hiring,Bangalore,3 Months," 7,000-8,000 ","Sales, Negotiation, CRM"
Content Writing,Peoplebox.ai,Actively hiring,Bangalore,2 Months,"15,000","Content Writing, Editing, SEO"
Pastry Assistant Chef,German BrezelHaus Bakery&Bistro,Actively hiring,Bangalore,3 Months,"10,000","Coordination, Communication, MS Office"
Technical Content Writer,Pickcel,Actively hiring,Bangalore,6 Months,"15,000","Writing, SEO, Research"
Content Writing,Auctus Infometrics Private Limited,Actively hiring,Bangalore,3 Months,"10,000","Content Writing, Editing, SEO"
Performance Marketing,MiM-Essay,Actively hiring,Delhi,3 Months,"15,000","Marketing Strategy, Communication, Market Research"
Pre Sales,Meragi,Actively hiring,Bangalore,3 Months," 15,000-20,000 ","Sales, Negotiation, CRM"
Brand Management,SuperTails,Actively hiring,Bangalore,6 Months,"15,000","Marketing Strategy, Branding, Communication"
Marketing,Trebound,Actively hiring,Bangalore,3 Months," 6,000-10,000 ","Marketing Strategy, Communication, Market Research"
Sales,I2global School,Actively hiring,Bangalore,3 Months,"15,000","Sales, Negotiation, CRM"
Business Development (Sales),Trade Brains,Actively hiring,Bangalore,3 Months," 7,000-8,000 ","Sales, Negotiation, Business Strategy"
Human Resources (HR),PassionMojo,Actively hiring,Work from home,6 Months,"1,000","Recruitment, HR Management, Communication"
Event Management,Goodera,Actively hiring,Bangalore,6 Months,"20,000","Communication, Teamwork"
Founders Office,Magna Hire,Actively hiring,Bangalore,3 Months,"15,000","Communication, Teamwork"
Video Editing/Making,Yes Property,Actively hiring,Bangalore,3 Months,"10,000","Video Editing, Premiere Pro, After Effects"
Video Editing/Making,Career-Domain,Actively hiring,Pune                                                            (Hybrid),3 Months,"10,000","Video Editing, Premiere Pro, After Effects"
Marketing,Sanatan Organic,Actively hiring,Bangalore                                                            (Hybrid),4 Months," 5,000-10,000 ","Marketing Strategy, Communication, Market Research"
Business Development (Sales),Techyguide OPC Private Limited,Actively hiring,Bangalore,3 Months,"7,000","Sales, Negotiation, Business Strategy"
Administration,OmniNeura AI Technologies Pvt Ltd,Actively hiring,Bangalore                                                            (Hybrid),3 Months,"10,000","Administration, Coordination, MS Office"
Business Development (Sales),Kkonnect.io,Actively hiring,"Bangalore, Mumbai",3 Months,"10,000","Sales, Negotiation, Business Strategy"
Business Development (Sales),TERN,Actively hiring,"Delhi, Bangalore                                                            (Hybrid)",3 Months,"15,000","Sales, Negotiation, Business Strategy"
Hot Kitchen Assistant Chef,German BrezelHaus Bakery&Bistro,Actively hiring,Bangalore,3 Months,"8,000","Coordination, Communication, MS Office"
Content Writing,Techyguide OPC Private Limited,Actively hiring,Bangalore                                                            (Hybrid),3 Months,"5,000","Content Writing, Editing, SEO"
Business Development (Sales),Pibit.ai Limited,Actively hiring,Bangalore,6 Months,"20,000","Sales, Negotiation, Business Strategy"
Business Development (Sales),Edumerge Solutions Private Limited,Actively hiring,Bangalore,3 Months,"20,000","Sales, Negotiation, Business Strategy"
Steward/ Waiter Intern,German BrezelHaus Bakery&Bistro,Actively hiring,Bangalore,3 Months,"8,000","Communication, Teamwork"
Marketing,SmartQ,Actively hiring,Bangalore,3 Months,"10,000","Marketing Strategy, Communication, Market Research"
Graphic Design,Scalar Tech Media Private Limited,Actively hiring,Mumbai,3 Months," 10,000-15,000 ","Graphic Design, Photoshop, Illustrator"
E-commerce Executive,Vision 360 Security,Actively hiring,"Mangaluru, Hubli, Bangalore                                                            (Hybrid)",2 Months," 5,000-8,000 ","Communication, Teamwork"
Social Media Marketing,CraveDigi Advisors OPC Pvt. Ltd.,Actively hiring,"Bangalore, Karnal, Karnakuppe, Karnataka, Karnatakakodi                                                            (Hybrid)",1 Month,"2,000","Marketing Strategy, Communication, Market Research"
International Business Development,Medetronix Labs,Actively hiring,Bangalore,6 Months," 5,000-15,000 ","Sales, Negotiation, Business Strategy"
Inside Sales/Telecaller Executive,Happitude Digital Solutions Private Limited,Actively hiring,Bangalore                                                            (Hybrid),6 Months,"15,000","Sales, Negotiation, CRM"
Administration,HEXACARE PHARMACEUTICALS PVT LTD,Actively hiring,Bangalore,3 Months," 8,000-12,000 ","Administration, Coordination, MS Office"
Business Development (Sales),DevTown,Actively hiring,Bangalore,6 Months," 10,000-15,000 ","Sales, Negotiation, Business Strategy"
Search Engine Optimization (SEO),Qyuki Digital Media Private Limited,Actively hiring,"Mangaluru, Bangalore, Hubballi, Karnataka                                                            (Hybrid)",3 Months,"7,000","SEO, Google Analytics, Keyword Research"
Business Development (Sales),Webmobi,Actively hiring,Bangalore                                                            (Hybrid),3 Months," 5,000  +  Incentives","Sales, Negotiation, Business Strategy"
Social Media Marketing,RankItRight Media,Actively hiring,Bangalore,6 Months,"25,000","Marketing Strategy, Communication, Market Research"
E-commerce Operations,Varen E-Commerce Private Limited,Actively hiring,Bangalore,2 Months," 10,000-12,000 ","Operations Management, Coordination, MS Excel"
Mass com,Pro India,Actively hiring,Gurgaon                                                            (Hybrid),6 Months," 5,000  +  Incentives","Communication, Teamwork"
Marketing Specialist (On- Field),Pilot Machinery Corporation,Actively hiring,"Bangalore, Karnataka",3 Months," 10,000-17,000 ","Marketing Strategy, Communication, Market Research"
Operations Executive,GEMA Education Technology Private Limited,Actively hiring,Noida,3 Months," 8,000-12,000 ","Operations Management, Coordination, MS Excel"
Content Writing,Goodera,Actively hiring,Bangalore,6 Months,"15,000","Content Writing, Editing, SEO"
Social Media,Meragi,Actively hiring,Bangalore,3 Months,"15,000","Social Media, Content Creation, Analytics"
Inside Sales,Legit Farms,Actively hiring,Bangalore,6 Months,"10,000","Sales, Negotiation, CRM"
Intern-Barista,German BrezelHaus Bakery&Bistro,Actively hiring,Bangalore,3 Months,"10,000","Communication, Teamwork"
Sales And Marketing,Trade Brains,Actively hiring,Bangalore,3 Months,"10,000","Sales, Negotiation, CRM"
Business Development (Sales),Intuitor Softtech Services Private Limited,Actively hiring,Bangalore,6 Months,"15,000","Sales, Negotiation, Business Strategy"
Social Media,Unified Sports,Actively hiring,Delhi                                                            (Hybrid),6 Months," 5,000-8,000 ","Social Media, Content Creation, Analytics"
Business Development (Sales),RoboManthan Private Limited,Actively hiring,Bangalore                                                            (Hybrid),3 Months," 5,000-12,000 ","Sales, Negotiation, Business Strategy"
Content Writing,GrowthSpree,Actively hiring,Noida,6 Months,"10,000","Content Writing, Editing, SEO"
Content Writing,Journey Routers,Actively hiring,Delhi,6 Months,"10,000","Content Writing, Editing, SEO"
Business Development (Sales),Intrainz Eductech,Actively hiring,Bangalore,3 Months,"17,000","Sales, Negotiation, Business Strategy"
Logistics And Operations,Ayati Devices Private Limited,Actively hiring,Bangalore,3 Months," 10,000-20,000 ","Operations Management, Coordination, MS Excel"
Graphic Design,Olivecloud Tech Pvt Ltd,Actively hiring,Mumbai,6 Months,"10,000","Graphic Design, Photoshop, Illustrator"
Female Personal Assistant Intern,Big Bulls,Actively hiring,Bangalore,6 Months,"10,000","Coordination, Communication, MS Office"
Human Resources (HR),Relinns Technologies,Actively hiring,Mohali,6 Months,"8,000","Recruitment, HR Management, Communication"
HR,Kheoni Ventures Private Limited,Actively hiring,Indore,3 Months," 5,000-7,000 ","Recruitment, HR Management, Communication"
Graphic Design,Zinnov Management Consulting,Actively hiring,Bangalore                                                            (Hybrid),6 Months," 20,000-25,000 ","Graphic Design, Photoshop, Illustrator"
Human Resources (HR),Xtrim Global Solutions Private Limited,Actively hiring,Indore,6 Months,"15,000","Recruitment, HR Management, Communication"
Social Media Marketing,Vystrit Designs,Actively hiring,Bangalore,3 Months,"16,000","Marketing Strategy, Communication, Market Research"
Trainee - Graphic Design,BookMyShow,Actively hiring,Mumbai,6 Months,"7,500","Graphic Design, Photoshop, Illustrator"
Social Media,OpenHouse,Actively hiring,Bangalore,2 Months,"15,000","Social Media, Content Creation, Analytics"
Creative Design,GetREAL,Actively hiring,Bangalore                                                            (Hybrid),3 Months,"20,000","Graphic Design, Photoshop, Illustrator"
Interior Design,Visual Mantra,Actively hiring,Mumbai,1 Month," 5,000-7,000 ","Graphic Design, Photoshop, Illustrator"
Video Editing/Making,Journey Routers,Actively hiring,Delhi,6 Months,"15,000","Video Editing, Premiere Pro, After Effects"
Graphic Design,Flying Pigeon Solutions,Actively hiring,Jaipur,3 Months,"10,000","Graphic Design, Photoshop, Illustrator"
Content Writing,Aikyam Fellows,Actively hiring,"Kochi, Ernakulam                                                            (Hybrid)",2 Months,"10,000","Content Writing, Editing, SEO"
Content Writing,Diploy,Actively hiring,Noida                                                            (Hybrid),6 Months,"10,000","Content Writing, Editing, SEO"
Digital Marketing,Variety Innovation Venture Private Limited,Actively hiring,Gurgaon,3 Months," 5,000-10,000 ","SEO, Google Ads, Social Media Marketing"
Graphic Design,Wolffkraft Design Studio,Actively hiring,Bangalore,3 Months,"15,000","Graphic Design, Photoshop, Illustrator"
Business Strategy,Supreme Forex (Supreme Securities Limited),Actively hiring,Delhi                                                            (Hybrid),4 Months,"22,000","Sales, Negotiation, Business Strategy"
Youth Facilitator,Pawzz,Actively hiring,Work from home,3 Weeks," 1,500-10,000 ","Communication, Teamwork"
Graphic Design,Intugine Technologies Private Limited,Actively hiring,Bangalore,4 Months,"15,000","Graphic Design, Photoshop, Illustrator"
Graphic Design,Beeyond Tech,Actively hiring,Mumbai,3 Months," 8,000-15,000 ","Graphic Design, Photoshop, Illustrator"
Social Studies And EVS Subject Author,Paradise Solutions,Actively hiring,"Kharar, Mohali, Chandigarh                                                            (Hybrid)",6 Months," 8,000-10,000 ","Communication, Teamwork"
Graphic Design,Brandshark,Actively hiring,Bangalore,3 Months,"10,000","Graphic Design, Photoshop, Illustrator"
Business Development (Sales),Rentease International LLP,Actively hiring,"Delhi, Bangalore, Navi Mumbai, Mumbai, Gandhinagar",3 Months,"5,000","Sales, Negotiation, Business Strategy"
Graphic Design,ANK Digital Media,Actively hiring,Delhi,6 Months," 5,000-12,000 ","Graphic Design, Photoshop, Illustrator"
Graphic Design,Urban NXT,Actively hiring,Mumbai,3 Months," 3,000  +  Incentives","Graphic Design, Photoshop, Illustrator"
Graphic Design,Enseur,Actively hiring,Delhi,3 Months," 3,000-10,000 ","Graphic Design, Photoshop, Illustrator"
Graphic Design,Ace 360,Actively hiring,Mumbai,6 Months," 3,000-7,500 ","Graphic Design, Photoshop, Illustrator"
Graphic Design,Techyguide OPC Private Limited,Actively hiring,Bangalore,3 Months,"5,000","Graphic Design, Photoshop, Illustrator"
Graphic Design,Walnut Publication,Actively hiring,"Faridabad, Delhi, Ghaziabad, Gurgaon, Greater Noida, Noida",2 Months,"5,000","Graphic Design, Photoshop, Illustrator"
Graphic Design,Pro India,Actively hiring,Gurgaon,4 Months,"5,000","Graphic Design, Photoshop, Illustrator"
Photography,Thebrothing,Actively hiring,Bangalore,3 Months,"10,000","photography,lightroom,photoshop,image editing"
Procurement Marketing,Inorbvict Healthcare India Private Limited,Actively hiring,"Pune, Pimpri-Chinchwad, Hinjawadi",3 Months,"6,000","Marketing Strategy, Communication, Market Research"
Digital Marketing,Valufocus Corporate Services Private Limited,Actively hiring,Bangalore,3 Months," 5,000-7,000 ","SEO, Google Ads, Social Media Marketing"
Human Resources (HR),Sonam  Geda,Actively hiring,Indore,1 Month," 5,000-7,000 ","Recruitment, HR Management, Communication"
Marketing,Dynamic World,Actively hiring,"Indore, Pune, Mumbai",6 Months,"5,000","Marketing Strategy, Communication, Market Research"
Video Editing/Making,Sara Sharma,Actively hiring,Delhi                                                            (Hybrid),6 Months," 8,000-12,000 ","Video Editing, Premiere Pro, After Effects"
Psychology,Career-Domain,Actively hiring,Nagpur,3 Months," 5,000-10,000 ","Communication, Teamwork"
Graphic Designer,RankItRight Media,Actively hiring,Bangalore,6 Months,"25,000","Graphic Design, Photoshop, Illustrator"
Startup Community Manager,Tutedude,Actively hiring,Work from home,3 Months,"2,000","Community Building, Communication, Public Relations"
Operations And Strategy,EkStep,Actively hiring,Bangalore,6 Months," 14,000-20,000 ","Operations Management, Coordination, MS Excel"
Graphic Design,Intelligentia Labs Private Limited,Actively hiring,Greater Noida                                                            (Hybrid),2 Months," 5,000-15,000 ","Graphic Design, Photoshop, Illustrator"
Human Resources (HR),Heterize Infotech Private Limited,Actively hiring,Indore,3 Months," 3,000-5,000 ","Recruitment, HR Management, Communication"
Digital Marketing,WEMATTER PXT Limited,Actively hiring,Mumbai,3 Months,"15,000","SEO, Google Ads, Social Media Marketing"
Content Writing,Justwords Consultants,Actively hiring,Gurgaon,6 Months," 12,000-15,000 ","Content Writing, Editing, SEO"
Assistant Director,Nazar Battu Productions Private Limited,Actively hiring,"Delhi, Noida",6 Months," 5,000-7,000 ","Coordination, Communication, MS Office"
