role,company_name,hiring_badge,location,duration,stipend_perMonth,skills
Business Development (Sales),Alphanumeric Ideas Private Limited,Actively hiring,"Chandigarh, Mohali",3 Months,"6,000","Sales, Negotiation, Business Strategy"
Architecture,Digital Factorys,Actively hiring,Pimpri-Chinchwad,6 Months,"5,000","AutoCAD, Architecture Design, 3D Modeling"
Student Success,Internshala,Actively hiring,Gurgaon,6 Months,"18,000","Communication, Teamwork"
Digital Marketing,Alphanumeric Ideas Private Limited,Actively hiring,"Chandigarh, Mohali",2 Months,"6,000","SEO, Google Ads, Social Media Marketing"
Administration,Aaptatt,Actively hiring,Gurgaon,6 Months,"7,500","Administration, Coordination, MS Office"
Anchoring,Unimonks,Actively hiring,Delhi,3 Months," 4,500-10,000 ","Anchoring, Public Speaking, Presentation"
Sales Consultant,Monkhub,Actively hiring,Gurgaon,6 Months," 7,000-10,000 ","Sales, Negotiation, CRM"
Mathematics Teaching,Budding Mariners,Actively hiring,Work from home,2 Months," 6,000 lump sum","Teaching, Curriculum Design, Communication"
Human Resources (HR),Alphanumeric Ideas Private Limited,Actively hiring,"Mohali, Chandigarh",6 Months,"6,000","Recruitment, HR Management, Communication"
Physics Teaching,Budding Mariners,Actively hiring,Work from home,1 Month," 7,000 lump sum","Teaching, Curriculum Design, Communication"
Content Writing,Next Labs,Actively hiring,Mumbai,6 Months,"10,000","Content Writing, Editing, SEO"
Field Sales,Highway Delite,Actively hiring,Work from home,6 Months,"15,000","Sales, Negotiation, CRM"
Graphic Design,Alphanumeric Ideas Private Limited,Actively hiring,Mohali,3 Months," 3,000-6,000 ","Graphic Design, Photoshop, Illustrator"
Graphic Design,Colab India,Actively hiring,Mumbai,4 Months,"25,000","Graphic Design, Photoshop, Illustrator"
Human Resources (HR),Requin Solutions Private Limited,Actively hiring,Jaipur,6 Months,"10,000","Recruitment, HR Management, Communication"
Telecalling,Highway Delite,Actively hiring,Work from home,6 Months,"10,000","Communication, Sales, Customer Handling"
Finance,Petronas Lubricants India Private Limited,Actively hiring,Mumbai,6 Months,"30,000","Excel, Financial Analysis, Accounting"
Marketing (Outreach),SwasthAham,Actively hiring,Work from home,6 Months,"1,000","Marketing Strategy, Communication, Market Research"
Project Management Officer,Ozibook Tech Solutions Private Limited,Actively hiring,Work from home,3 Months,"1,000","Project Management, MS Project, Leadership"
UI/UX Design,"Sprung Inc (Los Angeles, United States)",Actively hiring,Work from home,6 Months,"25,000","Figma, Wireframing, Prototyping"
Cyber Security,TwinLine Business Solutions Private Limited,Actively hiring,Gurgaon,3 Months,"15,000","Cyber Security, Networking, Ethical Hacking"
Assistant Sales Manager (Work With IITians Edtech Startup Australia),Medventures,Actively hiring,Work from home,3 Months," 1,000  +  Incentives","Sales, Negotiation, CRM"
